address,type,error_name
M60,Bool,上层流水线连料报警
M61,Bool,上层流水线到位超时
M62,Bool,上层流水线出料到料异常报警
M63,Bool,上层流水线出料异常报警
M64,Bool,长螺柱供料器卡料报警
M65,Bool,长螺柱供料器到料异常报警
M66,Bool,下层流水线连料报警
M67,Bool,下层流水线到料超时报警
M68,Bool,短螺柱供料器卡料报警
M69,Bool,短螺柱供料器到料异常报警
M70,Bool,螺丝供料器缺料报警
M73,Bool,取长螺柱报警
M74,Bool,取短螺柱报警
M75,Bool,下层流水线出料异常报警
M100,Bool,组装螺丝气缸_手动中
M101,Bool,流水线阻挡气缸_手动中
M102,Bool,流水线定位气缸_手动中
M103,Bool,长螺柱上下气缸_手动中
M104,Bool,长螺柱推送气缸_手动中
M105,Bool,长螺柱送料气缸_手动中
M106,Bool,短螺柱上下气缸_手动中
M107,Bool,短螺柱推送气缸_手动中
M108,Bool,短螺柱送料气缸_手动中
M109,Bool,上层流水线运转_手动中
M110,Bool,下层流水线运转_手动中
M111,Bool,螺丝电批真空吸料_手动中
M112,Bool,上层电机_手动中
M113,Bool,下层电机_手动中
M119,Bool,螺丝电批真空_报警
M120,Bool,组装螺丝气缸原位_报警
M121,Bool,组装螺丝气缸出位_报警
M122,Bool,流水线阻挡气缸原位_报警
M123,Bool,流水线阻挡气缸出位_报警
M124,Bool,流水线定位气缸原位_报警
M125,Bool,流水线定位气缸出位_报警
M126,Bool,长螺柱上下气缸原位_报警
M127,Bool,长螺柱上下气缸出位_报警
M128,Bool,长螺柱推送气缸原位_报警
M129,Bool,长螺柱推送气缸出位_报警
M130,Bool,长螺柱送料气缸原位_报警
M131,Bool,长螺柱送料气缸出位_报警
M132,Bool,短螺柱上下气缸原位_报警
M133,Bool,短螺柱上下气缸出位_报警
M134,Bool,短螺柱推送气缸原位_报警
M135,Bool,短螺柱推送气缸出位_报警
M136,Bool,短螺柱送料气缸原位_报警
M137,Bool,短螺柱送料气缸出位_报警
M138,Bool,门禁报警
M139,Bool,急停报警
M140,Bool,相机Z轴驱动器报警
M141,Bool,相机Z轴放松报警
M142,Bool,相机Z轴伺服报错
M143,Bool,相机Z轴未归零报警
M145,Bool,螺柱电批Z轴驱动器报警
M146,Bool,螺柱电批Z轴放松报警
M147,Bool,螺柱电批Z轴伺服报错
M148,Bool,螺柱电批Z轴未归零报警
M150,Bool,螺丝电批Z轴驱动器报警
M151,Bool,螺丝电批Z轴放松报警
M152,Bool,螺丝电批Z轴伺服报错
M153,Bool,螺丝电批Z轴未归零报警
M155,Bool,压力Z轴驱动器报警
M156,Bool,压力Z轴放松报警
M157,Bool,压力Z轴伺服报错
M158,Bool,压力Z轴未归零报警
M160,Bool,螺柱Y轴驱动器报警
M161,Bool,螺柱Y轴放松报警
M162,Bool,螺柱Y轴伺服报错
M163,Bool,螺柱Y轴未归零报警
M165,Bool,螺丝Y轴驱动器报警
M166,Bool,螺丝Y轴放松报警
M167,Bool,螺丝Y轴伺服报错
M168,Bool,螺丝Y轴未归零报警
M170,Bool,X轴驱动器报警
M171,Bool,X轴放松报警
M172,Bool,X轴伺服报错
M173,Bool,X轴未归零报警
M183,Bool,忽略拍照提示取走螺丝
M184,Bool,忽略拍照提示取走长螺柱
M185,Bool,忽略拍照提示取走短螺柱
M186,Bool,初始化设备内有产品报警
M187,Bool,Z轴不在安全位XY轴不可动
