address,type,error_name
M60,Bool,SMBbăng tải tầng trênbáo động kẹt liệu (SMBupper conveyorconveyor jam alarm) - SMB上层流水线连料报警
M61,Bool,SMBbăng tải tầng trênquá thời gian đến vị trí (SMBupper conveyorarrival timeout) - SMB上层流水线到位超时
M62,Bool,SMBbăng tải tầng trên出料到料异常báo động (SMBupper conveyor出料到料异常alarm) - SMB上层流水线出料到料异常报警
M63,Bool,SMBbăng tải tầng trên出料异常báo động (SMBupper conveyor出料异常alarm) - SMB上层流水线出料异常报警
M64,Bool,SMBbăng tải tầng trên出料有料异常báo độngT (SMBupper conveyor出料有料异常alarmT) - SMB上层流水线出料有料异常报警T
M66,Bool,SMBbăng tải tầng dướibáo động kẹt liệu (SMBlower conveyorconveyor jam alarm) - SMB下层流水线连料报警
M67,Bool,SMBbăng tải tầng dướiquá thời gian đến liệubáo động (SMBlower conveyorarrival timeoutalarm) - SMB下层流水线到料超时报警
M68,Bool,SMBbăng tải tầng dưới流出超时báo động (SMBlower conveyor流出超时alarm) - SMB下层流水线流出超时报警
M70,Bool,Chassisbăng tải tầng trênbáo động kẹt liệu (Chassisupper conveyorconveyor jam alarm) - Chassis上层流水线连料报警
M71,Bool,Chassisbăng tải tầng trênquá thời gian đến vị trí (Chassisupper conveyorarrival timeout) - Chassis上层流水线到位超时
M72,Bool,Chassisbăng tải tầng trên出料到料异常báo động (Chassisupper conveyor出料到料异常alarm) - Chassis上层流水线出料到料异常报警
M73,Bool,Chassisbăng tải tầng trên出料异常báo động (Chassisupper conveyor出料异常alarm) - Chassis上层流水线出料异常报警
M74,Bool,Chassisbăng tải tầng trên出料有料异常báo độngT (Chassisupper conveyor出料有料异常alarmT) - Chassis上层流水线出料有料异常报警T
M76,Bool,Chassisbăng tải tầng dướibáo động kẹt liệu (Chassislower conveyorconveyor jam alarm) - Chassis下层流水线连料报警
M77,Bool,Chassisbăng tải tầng dướiquá thời gian đến liệubáo động (Chassislower conveyorarrival timeoutalarm) - Chassis下层流水线到料超时报警
M78,Bool,Chassisbăng tải tầng dưới流出超时báo động (Chassislower conveyor流出超时alarm) - Chassis下层流水线流出超时报警
M80,Bool,SMB出料băng tảibáo động kẹt liệu (SMB出料conveyorconveyor jam alarm) - SMB出料流水线连料报警
M81,Bool,SMB出料băng tảiquá thời gian đến liệubáo động (SMB出料conveyorarrival timeoutalarm) - SMB出料流水线到料超时报警
M82,Bool,SMB出料băng tải出料异常báo động (SMB出料conveyor出料异常alarm) - SMB出料流水线出料异常报警
M84,Bool,Chassis出料băng tảibáo động kẹt liệu (Chassis出料conveyorconveyor jam alarm) - Chassis出料流水线连料报警
M85,Bool,Chassis出料băng tảiquá thời gian đến liệubáo động (Chassis出料conveyorarrival timeoutalarm) - Chassis出料流水线到料超时报警
M86,Bool,Chassis出料băng tải出料异常báo động (Chassis出料conveyor出料异常alarm) - Chassis出料流水线出料异常报警
M87,Bool,SMB入料chụp ảnh lỗi (NG) (SMB入料vision NG) - SMB入料拍照NG
M88,Bool,SMB出料chụp ảnh lỗi (NG) (SMB出料vision NG) - SMB出料拍照NG
M89,Bool,Chassis组装出料异常báo động (Chassis组装出料异常alarm) - Chassis组装出料异常报警
M90,Bool,SMB组装有料chưa được lấy đibáo động (SMB组装有料not removedalarm) - SMB组装有料未取走报警
M91,Bool,Chassis入料chụp ảnh lỗi (NG) (Chassis入料vision NG) - Chassis入料拍照NG
M92,Bool,Chassis出料chụp ảnh lỗi (NG) (Chassis出料vision NG) - Chassis出料拍照NG
M93,Bool,Tay kẹp lắp ráp Robot有料báo động (Robot assembly gripper有料alarm) - 机器人组装夹爪有料报警
M94,Bool,Robot下压báo động chống lỗi (phòng sai) (Robot下压error-proofing alarm) - 机器人下压防呆报警
M95,Bool,SMB入料Robot夹取hết liệubáo động (SMB入料robot夹取emptyalarm) - SMB入料机器人夹取无料报警
M96,Bool,SMB出料Robot夹取hết liệubáo động (SMB出料robot夹取emptyalarm) - SMB出料机器人夹取无料报警
M97,Bool,Chassis入料Robot夹取hết liệubáo động (Chassis入料robot夹取emptyalarm) - Chassis入料机器人夹取无料报警
M98,Bool,Chassis出料Robot夹取hết liệubáo động (Chassis出料robot夹取emptyalarm) - Chassis出料机器人夹取无料报警
M99,Bool,SMB组装Robot夹爪有料báo động (SMB组装robot夹爪有料alarm) - SMB组装机器人夹爪有料报警
M100,Bool,SMBbăng tải vào tầng trên阻挡vị trí gốc_báo động (SMBupper inlet conveyor阻挡home_alarm) - SMB上层入料流水线阻挡原位_报警
M101,Bool,SMBbăng tải vào tầng trên阻挡vị trí làm việc_báo động (SMBupper inlet conveyor阻挡work_alarm) - SMB上层入料流水线阻挡出位_报警
M102,Bool,SMBbăng tải ra tầng trên阻挡vị trí gốc_báo động (SMBupper outlet conveyor阻挡home_alarm) - SMB上层出料流水线阻挡原位_报警
M103,Bool,SMBbăng tải ra tầng trên阻挡vị trí làm việc_báo động (SMBupper outlet conveyor阻挡work_alarm) - SMB上层出料流水线阻挡出位_报警
M104,Bool,SMBbăng tải ra tầng trên顶升vị trí gốc_báo động (SMBupper outlet conveyor顶升home_alarm) - SMB上层出料流水线顶升原位_报警
M105,Bool,SMBbăng tải ra tầng trên顶升vị trí làm việc_báo động (SMBupper outlet conveyor顶升work_alarm) - SMB上层出料流水线顶升出位_报警
M106,Bool,Chassisbăng tải vào tầng trên阻挡vị trí gốc_báo động (Chassisupper inlet conveyor阻挡home_alarm) - Chassis上层入料流水线阻挡原位_报警
M107,Bool,Chassisbăng tải vào tầng trên阻挡vị trí làm việc_báo động (Chassisupper inlet conveyor阻挡work_alarm) - Chassis上层入料流水线阻挡出位_报警
M108,Bool,Chassisbăng tải ra tầng trên阻挡vị trí gốc_báo động (Chassisupper outlet conveyor阻挡home_alarm) - Chassis上层出料流水线阻挡原位_报警
M109,Bool,Chassisbăng tải ra tầng trên阻挡vị trí làm việc_báo động (Chassisupper outlet conveyor阻挡work_alarm) - Chassis上层出料流水线阻挡出位_报警
M110,Bool,Chassisbăng tải ra tầng trên顶升vị trí gốc_báo động (Chassisupper outlet conveyor顶升home_alarm) - Chassis上层出料流水线顶升原位_报警
M111,Bool,Chassisbăng tải ra tầng trên顶升vị trí làm việc_báo động (Chassisupper outlet conveyor顶升work_alarm) - Chassis上层出料流水线顶升出位_报警
M112,Bool,Chassis组装xi lanh chặnvị trí gốc_báo động (Chassis组装stopper cylinderhome_alarm) - Chassis组装阻挡气缸原位_报警
M113,Bool,Chassis组装xi lanh chặnvị trí làm việc_báo động (Chassis组装stopper cylinderwork_alarm) - Chassis组装阻挡气缸出位_报警
M114,Bool,Chassis组装前侧推vị trí gốc_báo động (Chassis组装前侧推home_alarm) - Chassis组装前侧推原位_报警
M115,Bool,Chassis组装前侧推vị trí làm việc_báo động (Chassis组装前侧推work_alarm) - Chassis组装前侧推出位_报警
M116,Bool,Chassis组装前下压vị trí gốc_báo động (Chassis组装前下压home_alarm) - Chassis组装前下压原位_报警
M117,Bool,Chassis组装前下压vị trí làm việc_báo động (Chassis组装前下压work_alarm) - Chassis组装前下压出位_报警
M118,Bool,Chassis组装后侧推vị trí gốc_báo động (Chassis组装后侧推home_alarm) - Chassis组装后侧推原位_报警
M119,Bool,Chassis组装后侧推vị trí làm việc_báo động (Chassis组装后侧推work_alarm) - Chassis组装后侧推出位_报警
M120,Bool,Chassis组装后下压vị trí gốc_báo động (Chassis组装后下压home_alarm) - Chassis组装后下压原位_报警
M121,Bool,Chassis组装后下压vị trí làm việc_báo động (Chassis组装后下压work_alarm) - Chassis组装后下压出位_报警
M122,Bool,Xi lanh lắp ráp Robotvị trí gốc_báo động (Robot assembly cylinderhome_alarm) - 机器人组装气缸原位_报警
M123,Bool,Xi lanh lắp ráp Robotvị trí làm việc_báo động (Robot assembly cylinderwork_alarm) - 机器人组装气缸出位_报警
M125,Bool,SMBbăng tảidỡ liệuRobot有料báo động (SMBconveyordischargerobot有料alarm) - SMB流水线放料机器人有料报警
M126,Bool,Chassisbăng tảidỡ liệuRobot有料báo động (Chassisconveyordischargerobot有料alarm) - Chassis流水线放料机器人有料报警
M127,Bool,SMB组装dỡ liệuRobot有料báo động (SMB组装dischargerobot有料alarm) - SMB组装放料机器人有料报警
M128,Bool,Chassis组装dỡ liệuRobot有料báo động (Chassis组装dischargerobot有料alarm) - Chassis组装放料机器人有料报警
M129,Bool,Chassis组装Robot夹爪有料báo động (Chassis组装robot夹爪有料alarm) - Chassis组装机器人夹爪有料报警
M130,Bool,SMB组装dỡ liệuchụp ảnh lỗi (NG) (SMB组装dischargevision NG) - SMB组装放料拍照NG
M131,Bool,Chassis组装dỡ liệuchụp ảnh lỗi (NG) (Chassis组装dischargevision NG) - Chassis组装放料拍照NG
M132,Bool,SMB/Chassis组装chụp ảnh lỗi (NG) (SMB/Chassis组装vision NG) - SMB/Chassis组装拍照NG
M134,Bool,Robotkích hoạt (enable)sự cố (Robotenabledfault) - 机器人使能故障
M135,Bool,Robotdừng khẩn cấpbáo độngsự cố (RobotE-stopalarmfault) - 机器人急停报警故障
M136,Bool,Robot系统sự cốsự cố (Robot系统faultfault) - 机器人系统故障故障
M137,Bool,Robotmất kết nối (offline)sự cố (Robotofflinefault) - 机器人掉线故障
M138,Bool,Cửa an toànbáo động (Safety gatealarm) - 门禁报警
M139,Bool,Dừng khẩn cấpbáo động (E-stopalarm) - 急停报警
M140,Bool,Robot夹紧轴báo động bộ điều khiển (driver) (Robot夹紧轴driver alarm) - 机器人夹紧轴驱动器报警
M141,Bool,Robot夹紧轴báo động nới lỏng (thả lỏng) (Robot夹紧轴release alarm) - 机器人夹紧轴放松报警
M142,Bool,Robot夹紧轴lỗi servo (Robot夹紧轴servo error) - 机器人夹紧轴伺服报错
M143,Bool,Robot夹紧轴chưa về vị trí gốcbáo động (Robot夹紧轴not homedalarm) - 机器人夹紧轴未归零报警
M145,Bool,Robot下压轴báo động bộ điều khiển (driver) (Robot下压轴driver alarm) - 机器人下压轴驱动器报警
M146,Bool,Robot下压轴báo động nới lỏng (thả lỏng) (Robot下压轴release alarm) - 机器人下压轴放松报警
M147,Bool,Robot下压轴lỗi servo (Robot下压轴servo error) - 机器人下压轴伺服报错
M148,Bool,Robot下压轴chưa về vị trí gốcbáo động (Robot下压轴not homedalarm) - 机器人下压轴未归零报警
M150,Bool,SMBtrục định vị trướcbáo động bộ điều khiển (driver) (SMBfront positioning axisdriver alarm) - SMB前定位轴驱动器报警
M151,Bool,SMBtrục định vị trướcbáo động nới lỏng (thả lỏng) (SMBfront positioning axisrelease alarm) - SMB前定位轴放松报警
M152,Bool,SMBtrục định vị trướclỗi servo (SMBfront positioning axisservo error) - SMB前定位轴伺服报错
M153,Bool,SMBtrục định vị trướcchưa về vị trí gốcbáo động (SMBfront positioning axisnot homedalarm) - SMB前定位轴未归零报警
M155,Bool,SMBtrục định vị saubáo động bộ điều khiển (driver) (SMBrear positioning axisdriver alarm) - SMB后定位轴驱动器报警
M156,Bool,SMBtrục định vị saubáo động nới lỏng (thả lỏng) (SMBrear positioning axisrelease alarm) - SMB后定位轴放松报警
M157,Bool,SMBtrục định vị saulỗi servo (SMBrear positioning axisservo error) - SMB后定位轴伺服报错
M158,Bool,SMBtrục định vị sauchưa về vị trí gốcbáo động (SMBrear positioning axisnot homedalarm) - SMB后定位轴未归零报警
M160,Bool,SMBtrục nâng hạbáo động bộ điều khiển (driver) (SMBlifting axisdriver alarm) - SMB升降轴驱动器报警
M161,Bool,SMBtrục nâng hạbáo động nới lỏng (thả lỏng) (SMBlifting axisrelease alarm) - SMB升降轴放松报警
M162,Bool,SMBtrục nâng hạlỗi servo (SMBlifting axisservo error) - SMB升降轴伺服报错
M163,Bool,SMBtrục nâng hạchưa về vị trí gốcbáo động (SMBlifting axisnot homedalarm) - SMB升降轴未归零报警
M165,Bool,SMB上trục đẩybáo động bộ điều khiển (driver) (SMB上pushing axisdriver alarm) - SMB上推送轴驱动器报警
M166,Bool,SMB上trục đẩybáo động nới lỏng (thả lỏng) (SMB上pushing axisrelease alarm) - SMB上推送轴放松报警
M167,Bool,SMB上trục đẩylỗi servo (SMB上pushing axisservo error) - SMB上推送轴伺服报错
M168,Bool,SMB上trục đẩychưa về vị trí gốcbáo động (SMB上pushing axisnot homedalarm) - SMB上推送轴未归零报警
M170,Bool,SMB下trục đẩybáo động bộ điều khiển (driver) (SMB下pushing axisdriver alarm) - SMB下推送轴驱动器报警
M171,Bool,SMB下trục đẩybáo động nới lỏng (thả lỏng) (SMB下pushing axisrelease alarm) - SMB下推送轴放松报警
M172,Bool,SMB下trục đẩylỗi servo (SMB下pushing axisservo error) - SMB下推送轴伺服报错
M173,Bool,SMB下trục đẩychưa về vị trí gốcbáo động (SMB下pushing axisnot homedalarm) - SMB下推送轴未归零报警
M175,Bool,Chassistrục nâng hạbáo động bộ điều khiển (driver) (Chassislifting axisdriver alarm) - Chassis升降轴驱动器报警
M176,Bool,Chassistrục nâng hạbáo động nới lỏng (thả lỏng) (Chassislifting axisrelease alarm) - Chassis升降轴放松报警
M177,Bool,Chassistrục nâng hạlỗi servo (Chassislifting axisservo error) - Chassis升降轴伺服报错
M178,Bool,Chassistrục nâng hạchưa về vị trí gốcbáo động (Chassislifting axisnot homedalarm) - Chassis升降轴未归零报警
M180,Bool,SMBbăng tải vào tầng trên_đang chạy thủ công (SMBupper inlet conveyor_manual running) - SMB上层入料流水线_手动中
M181,Bool,SMBbăng tải vào tầng dưới_đang chạy thủ công (SMBlower inlet conveyor_manual running) - SMB下层入料流水线_手动中
M182,Bool,SMB出料băng tải_đang chạy thủ công (SMB出料conveyor_manual running) - SMB出料流水线_手动中
M183,Bool,Chassisbăng tải vào tầng trên_đang chạy thủ công (Chassisupper inlet conveyor_manual running) - Chassis上层入料流水线_手动中
M184,Bool,Chassisbăng tải vào tầng dưới_đang chạy thủ công (Chassislower inlet conveyor_manual running) - Chassis下层入料流水线_手动中
M185,Bool,Chassis出料băng tải_đang chạy thủ công (Chassis出料conveyor_manual running) - Chassis出料流水线_手动中
M186,Bool,Chassis组装băng tải_đang chạy thủ công (Chassis组装conveyor_manual running) - Chassis组装流水线_手动中
M187,Bool,SMBbăng tải vào tầng trênxi lanh chặn_đang chạy thủ công (SMBupper inlet conveyorstopper cylinder_manual running) - SMB上层入料流水线阻挡气缸_手动中
M188,Bool,SMB出料băng tảixi lanh chặn_đang chạy thủ công (SMB出料conveyorstopper cylinder_manual running) - SMB出料流水线阻挡气缸_手动中
M189,Bool,SMB出料băng tải顶升气缸_đang chạy thủ công (SMB出料conveyor顶升气缸_manual running) - SMB出料流水线顶升气缸_手动中
M190,Bool,Chassisbăng tải vào tầng trênxi lanh chặn_đang chạy thủ công (Chassisupper inlet conveyorstopper cylinder_manual running) - Chassis上层入料流水线阻挡气缸_手动中
M191,Bool,Chassis出料băng tảixi lanh chặn_đang chạy thủ công (Chassis出料conveyorstopper cylinder_manual running) - Chassis出料流水线阻挡气缸_手动中
M192,Bool,Chassis出料băng tải顶升气缸_đang chạy thủ công (Chassis出料conveyor顶升气缸_manual running) - Chassis出料流水线顶升气缸_手动中
M193,Bool,Chassis组装xi lanh chặn_đang chạy thủ công (Chassis组装stopper cylinder_manual running) - Chassis组装阻挡气缸_手动中
M194,Bool,Chassis组装前xi lanh đẩy bên_đang chạy thủ công (Chassis组装前side pusher cylinder_manual running) - Chassis组装前侧推气缸_手动中
M195,Bool,Chassis组装前后推气缸_đang chạy thủ công (Chassis组装前后推气缸_manual running) - Chassis组装前后推气缸_手动中
M196,Bool,Chassis组装前xi lanh nhấn xuống_đang chạy thủ công (Chassis组装前down-press cylinder_manual running) - Chassis组装前下压气缸_手动中
M197,Bool,Chassis组装后xi lanh nhấn xuống_đang chạy thủ công (Chassis组装后down-press cylinder_manual running) - Chassis组装后下压气缸_手动中
M198,Bool,Xi lanh lắp ráp Robot_đang chạy thủ công (Robot assembly cylinder_manual running) - 机器人组装气缸_手动中
M199,Bool,SMBbăng tải vào tầng trên入口光栅báo động (SMBupper inlet conveyor入口光栅alarm) - SMB上层入料流水线入口光栅报警
M210,Bool,SMB面cửa an toàn异常 (SMB面safety door异常) - SMB面安全门异常
M211,Bool,Chassis面cửa an toàn异常 (Chassis面safety door异常) - Chassis面安全门异常
M212,Bool,Robot入口cửa an toàn异常 (Robot入口safety door异常) - 机器人入口安全门异常
M214,Bool,Chassistrục nâng hạ不在升降2位báo động (Chassislifting axis不在升降2位alarm) - Chassis升降轴不在升降2位报警
M215,Bool,Trục định vị trướcvượt giới hạn bù (Front positioning axiscompensation limit exceeded) - 前定位轴补偿超限
M216,Bool,后定位补轴偿超限 (后定位补轴偿超限) - 后定位补轴偿超限
M217,Bool,SMB拍照2位视觉补偿NG (SMB拍照2位视觉补偿NG) - SMB拍照2位视觉补偿NG
M218,Bool,Chassis组装有料chống lỗi (phòng sai)检测báo động (Chassis组装有料error-proofing检测alarm) - Chassis组装有料防呆检测报警
M219,Bool,Robot下压轴áp lực bất thường (Robot下压轴pressure anomaly) - 机器人下压轴压力异常
M220,Bool,上trục đẩyáp lực bất thường (上pushing axispressure anomaly) - 上推送轴压力异常
M221,Bool,Robot夹紧轴有料chống lỗi (phòng sai) (Robot夹紧轴有料error-proofing) - 机器人夹紧轴有料防呆
M222,Bool,Robot夹紧轴有料báo động (Robot夹紧轴有料alarm) - 机器人夹紧轴有料报警
M223,Bool,Robotdỡ liệu区域异常 (Robotdischarge区域异常) - 机器人放料区域异常
M224,Bool,Bất thường vị trí chuyển tiếp Chassis Robot - vị trí chờ dỡ liệu lắp ráp (Robot Chassis transition position - assembly discharge wait position anomaly) - 机器人Chassis过渡位-组装放料等待位异常
M225,Bool,Trục định vị trước不在1位báo động (Front positioning axis不在1位alarm) - 前定位轴不在1位报警
M226,Bool,Trục định vị sau不在1位báo động (Rear positioning axis不在1位alarm) - 后定位轴不在1位报警
