address,type,error_name
M100,Bool,Xi lanh chặn_đang chạy thủ công (Stopper cylinder_manual running) - 阻挡气缸_手动中
M101,Bool,左xi lanh kẹp_đang chạy thủ công (左clamping cylinder_manual running) - 左夹紧气缸_手动中
M102,Bool,右xi lanh kẹp_đang chạy thủ công (右clamping cylinder_manual running) - 右夹紧气缸_手动中
M103,Bool,Động cơ tầng trên_đang chạy thủ công (Upper motor_manual running) - 上层电机_手动中
M104,Bool,Động cơ tầng dưới_đang chạy thủ công (Lower motor_manual running) - 下层电机_手动中
M105,Bool,左xi lanh nhấn xuống_đang chạy thủ công (左down-press cylinder_manual running) - 左下压气缸_手动中
M106,Bool,右xi lanh nhấn xuống_đang chạy thủ công (右down-press cylinder_manual running) - 右下压气缸_手动中
M109,Bool,Xi lanh chặn_báo động (Stopper cylinder_alarm) - 阻挡气缸_报警
M111,Bool,左xi lanh kẹp_báo động (左clamping cylinder_alarm) - 左夹紧气缸_报警
M113,Bool,右xi lanh kẹp_báo động (右clamping cylinder_alarm) - 右夹紧气缸_报警
M114,Bool,上层quá thời gian vào liệubáo động (上层inlet timeoutalarm) - 上层入料超时报警
M115,Bool,上层gắp liệu异常báo động (上层pick异常alarm) - 上层取料异常报警
M116,Bool,上层quá thời gian ra liệubáo động (上层discharge timeoutalarm) - 上层出料超时报警
M117,Bool,下层quá thời gian vào liệubáo động (下层inlet timeoutalarm) - 下层入料超时报警
M118,Bool,下层quá thời gian ra liệubáo động (下层discharge timeoutalarm) - 下层出料超时报警
M119,Bool,左xi lanh nhấn xuống_báo động (左down-press cylinder_alarm) - 左下压气缸_报警
M120,Bool,右xi lanh nhấn xuống_báo động (右down-press cylinder_alarm) - 右下压气缸_报警
M138,Bool,Cửa an toànbáo động（屏蔽M811） (Safety gatealarm（屏蔽M811）) - 门禁报警（屏蔽M811）
M139,Bool,Dừng khẩn cấpbáo động (E-stopalarm) - 急停报警
M140,Bool,Trục Z nâng hạ tráibáo động bộ điều khiển (driver) (Left lift Z-axisdriver alarm) - 左升降Z轴驱动器报警
M141,Bool,Trục Z nâng hạ tráibáo động nới lỏng (thả lỏng) (Left lift Z-axisrelease alarm) - 左升降Z轴放松报警
M142,Bool,Trục Z nâng hạ tráilỗi servo (Left lift Z-axisservo error) - 左升降Z轴伺服报错
M143,Bool,Trục Z nâng hạ tráichưa về vị trí gốcbáo động (Left lift Z-axisnot homedalarm) - 左升降Z轴未归零报警
M145,Bool,Trục Z nâng hạ phảibáo động bộ điều khiển (driver) (Right lift Z-axisdriver alarm) - 右升降Z轴Z轴驱动器报警
M146,Bool,Trục Z nâng hạ phảibáo động nới lỏng (thả lỏng) (Right lift Z-axisrelease alarm) - 右升降Z轴Z轴放松报警
M147,Bool,Trục Z nâng hạ phảilỗi servo (Right lift Z-axisservo error) - 右升降Z轴Z轴伺服报错
M148,Bool,Trục Z nâng hạ phảichưa về vị trí gốcbáo động (Right lift Z-axisnot homedalarm) - 右升降Z轴Z轴未归零报警
M150,Bool,Trục X kẹp tráibáo động bộ điều khiển (driver) (Left clamp X-axisdriver alarm) - 左夹紧X轴驱动器报警
M151,Bool,Trục X kẹp tráibáo động nới lỏng (thả lỏng) (Left clamp X-axisrelease alarm) - 左夹紧X轴放松报警
M152,Bool,Trục X kẹp tráilỗi servo (Left clamp X-axisservo error) - 左夹紧X轴伺服报错
M153,Bool,Trục X kẹp tráichưa về vị trí gốcbáo động (Left clamp X-axisnot homedalarm) - 左夹紧X轴未归零报警
M155,Bool,Trục X kẹp phảibáo động bộ điều khiển (driver) (Right clamp X-axisdriver alarm) - 右夹紧X轴驱动器报警
M156,Bool,Trục X kẹp phảibáo động nới lỏng (thả lỏng) (Right clamp X-axisrelease alarm) - 右夹紧X轴放松报警
M157,Bool,Trục X kẹp phảilỗi servo (Right clamp X-axisservo error) - 右夹紧X轴伺服报错
M158,Bool,Trục X kẹp phảichưa về vị trí gốcbáo động (Right clamp X-axisnot homedalarm) - 右夹紧X轴未归零报警
M160,Bool,Trục R xoay tráibáo động bộ điều khiển (driver) (Left rotate R-axisdriver alarm) - 左旋转R轴驱动器报警
M161,Bool,Trục R xoay tráibáo động nới lỏng (thả lỏng) (Left rotate R-axisrelease alarm) - 左旋转R轴放松报警
M162,Bool,Trục R xoay tráilỗi servo (Left rotate R-axisservo error) - 左旋转R轴伺服报错
M163,Bool,Trục R xoay tráichưa về vị trí gốcbáo động (Left rotate R-axisnot homedalarm) - 左旋转R轴未归零报警
M165,Bool,Trục R xoay phảibáo động bộ điều khiển (driver) (Right rotate R-axisdriver alarm) - 右旋转R轴驱动器报警
M166,Bool,Trục R xoay phảibáo động nới lỏng (thả lỏng) (Right rotate R-axisrelease alarm) - 右旋转R轴放松报警
M167,Bool,Trục R xoay phảilỗi servo (Right rotate R-axisservo error) - 右旋转R轴伺服报错
M168,Bool,Trục R xoay phảichưa về vị trí gốcbáo động (Right rotate R-axisnot homedalarm) - 右旋转R轴未归零报警
